ID,Domain,Phylum,Class,Order,Family,Genus
OTU_22308,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_31340,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Unclassified
OTU_20477,Bacteria,OD1,Unclassified,Unclassified,Unclassified,OD1_genera_incertae_sedis
OTU_27491,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_25017,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_28404,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_30419,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Unclassified,Unclassified
OTU_24038,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_25953,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Unclassified
OTU_28044,Bacteria,OD1,Unclassified,Unclassified,Unclassified,OD1_genera_incertae_sedis
OTU_21966,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27294,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unclassified
OTU_24683,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_28003,Bacteria,TM7,Unclassified,Unclassified,Unclassified,TM7_genera_incertae_sedis
OTU_27963,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22491,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia
OTU_29840,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_30639,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_25439,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_28553,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_19697,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_31394,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_25218,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Ktedonobacter
OTU_20595,Archaea,Euryarchaeota,Unclassified,Unclassified,Unclassified,Unclassified
OTU_25726,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22507,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Unclassified,Chloroplast,Chlorophyta
OTU_26265,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27993,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_29794,Bacteria,Proteobacteria,Alphaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_25830,Archaea,Euryarchaeota,Unclassified,Unclassified,Unclassified,Unclassified
OTU_11684,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_31046,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_23807,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unclassified
OTU_24505,Bacteria,OP11,Unclassified,Unclassified,Unclassified,OP11_genera_incertae_sedis
OTU_19363,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Unclassified,Unclassified
OTU_27604,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22548,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_31317,Bacteria,OD1,Unclassified,Unclassified,Unclassified,OD1_genera_incertae_sedis
OTU_31149,Bacteria,Proteobacteria,Alphaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_31721,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_31926,Bacteria,OP11,Unclassified,Unclassified,Unclassified,OP11_genera_incertae_sedis
OTU_28019,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22431,Bacteria,Proteobacteria,Betaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_29529,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Unclassified,Unclassified
OTU_20722,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_15740,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_31665,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Unclassified,Unclassified
OTU_16040,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_19449,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia
OTU_24474,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_23095,Bacteria,OP11,Unclassified,Unclassified,Unclassified,OP11_genera_incertae_sedis
OTU_15778,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_24728,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_26503,Bacteria,Proteobacteria,Alphaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_22547,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22731,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_25362,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_29845,Bacteria,Verrucomicrobia,Unclassified,Unclassified,Unclassified,Unclassified
OTU_24036,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_28102,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_31000,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Unclassified,Chloroplast,Bacillariophyta
OTU_28719,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_29133,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
OTU_26408,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22621,Bacteria,Verrucomicrobia,Subdivision5,Unclassified,Unclassified,Subdivision5_genera_incertae_sedis
OTU_17673,Bacteria,OD1,Unclassified,Unclassified,Unclassified,OD1_genera_incertae_sedis
OTU_15913,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_24473,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea
OTU_22552,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unclassified
OTU_31632,Bacteria,Proteobacteria,Deltaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_20398,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_31699,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22771,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_20774,Bacteria,OD1,Unclassified,Unclassified,Unclassified,OD1_genera_incertae_sedis
OTU_24608,Bacteria,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified
OTU_27339,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_26460,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Unclassified,Unclassified
OTU_20360,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_30393,Bacteria,OD1,Unclassified,Unclassified,Unclassified,OD1_genera_incertae_sedis
OTU_24774,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_19789,Bacteria,OP11,Unclassified,Unclassified,Unclassified,OP11_genera_incertae_sedis
OTU_28034,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_28008,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_28021,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27465,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_20071,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22016,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27600,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27936,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_28727,Bacteria,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified
OTU_23118,Bacteria,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified
OTU_23719,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Leptospiraceae,Leptonema
OTU_25453,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_26106,Bacteria,Proteobacteria,Alphaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_22730,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27556,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_23173,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_20683,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_28375,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unclassified
OTU_28831,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_17191,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_28028,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_16298,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22624,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_24528,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_24325,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_20831,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22229,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_26495,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_30623,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Unclassified
OTU_20393,Bacteria,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified
OTU_19100,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_30719,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_31714,Bacteria,Proteobacteria,Deltaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_27229,Archaea,Euryarchaeota,Methanomicrobia,Unclassified,Unclassified,Unclassified
OTU_30622,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_16722,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_17994,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_29447,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_30795,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_17624,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27722,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_29482,Bacteria,OD1,Unclassified,Unclassified,Unclassified,OD1_genera_incertae_sedis
OTU_21098,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_14079,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_26985,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_16853,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Unclassified,Unclassified
OTU_29564,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_26882,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_21700,Bacteria,SR1,Unclassified,Unclassified,Unclassified,SR1_genera_incertae_sedis
OTU_26020,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_28192,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_24900,Archaea,Euryarchaeota,Unclassified,Unclassified,Unclassified,Unclassified
OTU_20389,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_17910,Bacteria,OD1,Unclassified,Unclassified,Unclassified,OD1_genera_incertae_sedis
OTU_28399,Bacteria,Proteobacteria,Deltaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_29894,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_28434,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_17254,Bacteria,Acidobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27462,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_29570,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_31801,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
OTU_31933,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_30929,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Unclassified
OTU_24899,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Rubritepida
OTU_28041,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_26797,Bacteria,Proteobacteria,Alphaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_25794,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22145,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_29407,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Unclassified,Unclassified
OTU_27746,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_28785,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22901,Bacteria,BRC1,Unclassified,Unclassified,Unclassified,BRC1_genera_incertae_sedis
OTU_27366,Bacteria,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified
OTU_30807,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Saccharofermentans
OTU_26545,Bacteria,OD1,Unclassified,Unclassified,Unclassified,OD1_genera_incertae_sedis
OTU_19736,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_21704,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Bellilinea
OTU_25098,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27618,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22280,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22395,Bacteria,Proteobacteria,Unclassified,Unclassified,Unclassified,Unclassified
OTU_26497,Bacteria,Chloroflexi,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27130,Bacteria,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified
OTU_21146,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_19207,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_18687,Bacteria,Proteobacteria,Deltaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_21214,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Unclassified,Chloroplast,Bacillariophyta
OTU_27470,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_26240,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_26213,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_31174,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_21855,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_23665,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_20311,Bacteria,BRC1,Unclassified,Unclassified,Unclassified,BRC1_genera_incertae_sedis
OTU_30545,Archaea,Euryarchaeota,Unclassified,Unclassified,Unclassified,Unclassified
OTU_26028,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_29897,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_26936,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27734,Archaea,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_28670,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_20497,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Unclassified
OTU_23011,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_19258,Archaea,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_18211,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_24116,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_12147,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27793,Bacteria,OD1,Unclassified,Unclassified,Unclassified,OD1_genera_incertae_sedis
OTU_22680,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Unclassified,Unclassified
OTU_27384,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_15949,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Vampirovibrio
OTU_23351,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_30143,Bacteria,OD1,Unclassified,Unclassified,Unclassified,OD1_genera_incertae_sedis
OTU_5479,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Unclassified,Unclassified
OTU_24919,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified,Unclassified,Unclassified
OTU_20929,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Unclassified,Unclassified
OTU_10279,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophaga
OTU_27382,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_27766,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella
OTU_29005,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_22188,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Unclassified
OTU_31727,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU_15367,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
