sample,Latitude,Longitude,geographic distance X,geographic distance Y,DOC,DTN,MBC,MBN,NH4_N,NO3_N,VWC,A,soil T,Ph
HF3_H16,32.00842778,117.6538608,439803,224152,38.147,10.464,152.581,20.872,5.804,0.657,45.4,44,18.1,5.04
HF3_H36,32.00842778,117.6540689,439823,224152,27.355,7.619,109.544,13.881,0.917,0.174,44.8,44.2,17.7,5.04
HF3_H06,32.00842778,117.6537568,439793,224152,36.421,9.117,146.58,14.204,6.703,0.542,44.3,43.3,17.4,4.8
HF3_H76,32.00842778,117.654485,439863,224152,29.458,8.259,167.354,18.257,4.268,2.458,43.2,44,17.2,5.28
HF3_V0,32.00842778,117.6536944,439787,224152,27.021,7.3,146.228,19.23,4.252,1.52,42.3,42.3,17.5,4.65
HF3_V01,32.00843679,117.6536944,439787,224153,25.697,7.561,179.906,15.919,5.341,0.525,42.9,42.6,17.9,4.52
HF3_V16,32.00857192,117.6536944,439787,224168,26.542,6.855,148.036,19.108,5.407,0.486,42.3,42.4,17.4,4.34
HF3_V36,32.0087521,117.6536944,439787,224188,31.387,8.371,132.542,11.31,4.699,0.44,41.8,42.3,17.6,4.44
HF3_V06,32.00848183,117.6536944,439787,224158,25.055,7.353,191.485,21.307,5.003,0.651,42,42.4,17.5,4.45
HF3_V76,32.00911246,117.6536944,439787,224228,27.474,6.919,150.69,18.426,4.524,0.468,41.8,42.2,17.6,NA
HS1_H01,29.98666667,114.6960104,154401,0,17.633,5.603,84.043,5.72,2.044,1.275,40.4,38.7,14.2,6
HS1_H16,29.98666667,114.6961664,154416,0,19.331,6.692,159.297,15.771,2.359,1.783,41.8,40,14.8,5.51
HS1_H36,29.98666667,114.6963745,154436,0,20.813,5.84,180.669,15.79,2.537,0.388,41.5,40.1,13.8,5.22
HS1_H06,29.98666667,114.6960624,154406,0,17.926,5.163,124.742,12.386,1.883,2.942,48.4,39.8,14.2,NA
HS1_H76,29.98666667,114.6967906,154476,0,50.991,10.241,176.675,16.178,2.719,0.846,40.1,40.1,14.5,NA
HS1_V01,29.98667568,114.696,154400,1,18.589,5.001,101.081,10.142,2.186,1.623,47.6,46.2,13.6,NA
HS1_V16,29.98681081,114.696,154400,16,17.398,5.839,121.025,10.089,2.013,0.346,41.2,43.9,13.2,5.96
HS1_V36,29.98699099,114.696,154400,36,17.46,3.93,100.732,10.03,1.975,1.023,41.8,43.5,14.2,5.45
HS1_V06,29.98672072,114.696,154400,6,18.47,5.385,131.713,12.241,2.172,2.05,42,44.8,14.4,NA
HS1_V76,29.98735135,114.696,154400,76,19.184,5.191,105.043,10.58,1.866,1.269,40.9,43,13.6,NA
HS2_H16,30.02022778,114.6325914,148281,3720,31.57,6.341,299.426,14.738,2.247,0.592,47.6,47.7,13.1,4.48
HS2_H36,30.02022778,114.6327995,148301,3720,39.545,6.485,303.218,19.268,3.443,4.237,45.9,47.5,14.4,4.97
HS2_H06,30.02022778,114.6324874,148271,3720,33.505,6.55,287.549,26.533,2.97,0.608,48.7,47.7,12.8,4.14
HS2_H76,30.02022778,114.6332156,148341,3720,21.811,8.12,276.235,19.765,2.933,4.131,47.9,47.6,14,4.53
HS2_V16,30.02037192,114.632425,148265,3736,37.126,7.699,324.499,24.86,3.891,0.447,49.8,48.1,15.4,4.22
HS2_V06,30.02028183,114.632425,148265,3726,38.668,7.251,174.586,8.858,3.198,2.54,49.5,47.6,14.6,4.36
HS2_V76,30.02091246,114.632425,148265,3796,35.098,6.419,178.419,14.609,3.826,0.399,50.1,47.6,15,4.63
HS3_H01,30.030175,114.7767715,162194,4823,27.479,8.812,304.145,23.379,3.834,3.117,26.5,30.9,14.4,5.14
HS3_H16,30.030175,114.7769275,162209,4823,37.025,10.623,460.181,36.533,4.48,3.273,34,31.1,14.5,4.9
HS3_H36,30.030175,114.7771356,162229,4823,20.824,6.917,231.364,20.699,3.793,0.728,32,31.2,14,4.4
HS3_H06,30.030175,114.7768235,162199,4823,28.376,7.856,366.797,30.285,3.875,3.041,30.4,30.9,14.2,5.05
HS3_H76,30.030175,114.7775517,162269,4823,30.148,7.136,273.009,24.172,3.833,1.044,33.4,31.4,14.5,5.06
HS3_V0,30.030175,114.7767611,162193,4823,27.887,9.773,246.268,19.38,3.443,3.078,32,30.5,15,5.33
HS3_V01,30.03018401,114.7767611,162193,4824,21.91,7.563,193.088,17.717,3.244,0.954,30.1,30.4,15,5.36
HS3_V16,30.03031914,114.7767611,162193,4839,22.851,6.534,186.848,15.105,3.524,1.053,32.6,30.4,15.5,5.44
HS3_V36,30.03049932,114.7767611,162193,4859,26.07,5.539,204.71,13.25,3.83,4.392,36.8,31.5,15.2,5.45
HS3_V06,30.03022905,114.7767611,162193,4829,32.755,7.807,198.074,17.397,3.7,2.403,28.4,29.9,15.5,5.45
HS3_V76,30.03085968,114.7767611,162193,4899,24.682,9.004,378.002,31.014,3.717,4.017,48.7,35.3,14.4,5.46
JR1_H01,31.92727348,119.1372605,582911,215153,28.486,15.67,240.052,24.353,5.056,8.605,NA,NA,NA,5.27
JR1_H16,31.92727348,119.1374165,582926,215153,26.974,6.878,130.755,7.912,4.67,0.391,NA,NA,NA,4.84
JR1_H36,31.92727348,119.1376246,582946,215153,27.878,7.615,207.406,15.544,4.838,1.066,NA,NA,NA,4.95
JR1_H06,31.92727348,119.1373125,582916,215153,30.12,14.098,187.484,22.791,5.208,8.758,NA,NA,NA,5.12
JR1_H76,31.92727348,119.1380407,582987,215153,27.978,12.007,269.81,29.838,4.828,5.72,NA,NA,NA,5.3
JR1_V0,31.92727348,119.1372501,582910,215153,29.472,14.375,299.162,35.73,4.848,6.32,NA,NA,NA,5.1
JR1_V01,31.92728249,119.1372501,582910,215154,32.161,14.036,298.037,23.743,3.913,6.399,NA,NA,NA,5.08
JR1_V16,31.92741762,119.1372501,582910,215169,26.055,8.026,188.48,14.722,4.23,1.959,NA,NA,NA,5.26
JR1_V36,31.9275978,119.1372501,582910,215189,27.012,13.191,272.293,21.552,4.182,6.932,NA,NA,NA,4.6
JR1_V06,31.92732753,119.1372501,582910,215159,31.788,17.173,277.849,25.524,4.187,8.761,NA,NA,NA,5.05
JR1_V76,31.92795816,119.1372501,582910,215229,26.599,15.591,297.417,25.095,4.382,8.376,NA,NA,NA,4.76
JR2_H01,31.91328413,119.1740591,586461,213602,25.577,11.695,286.972,25.121,5.318,8.853,NA,NA,NA,5.29
JR2_H16,31.91328413,119.1742151,586476,213602,22.112,8.18,332.158,27.58,4.887,2.45,NA,NA,NA,4.59
JR2_H36,31.91328413,119.1744232,586496,213602,29.079,9.128,310.932,28.284,4.9,15.291,NA,NA,NA,5.21
JR2_H06,31.91328413,119.1741111,586466,213602,27.446,15.748,354.912,38.525,4.94,3.388,NA,NA,NA,4.79
JR2_H76,31.91328413,119.1748393,586536,213602,23.742,19.55,426.411,49.72,2.682,9.36,NA,NA,NA,5.29
JR2_V0,31.91328413,119.1740487,586460,213602,31.897,12.466,336.971,23.864,5.024,5.423,NA,NA,NA,NA
JR2_V01,31.91329314,119.1740487,586460,213603,31.231,13.844,275.05,18.418,5.329,3.526,NA,NA,NA,NA
JR2_V36,31.91360845,119.1740487,586460,213637,25.753,9.582,251.866,19.695,5.023,6.01,NA,NA,NA,NA
JR2_V06,31.91333818,119.1740487,586460,213608,24.646,9.545,309.944,21.092,5.502,7.347,NA,NA,NA,NA
JR2_V76,31.91396881,119.1740487,586460,213677,25.355,12.201,358.199,39.051,4.908,5.365,NA,NA,NA,NA
JR3_H01,31.86846359,119.1842179,587441,208632,27.366,11.359,286.319,27.897,2.882,3.762,NA,NA,NA,4.8
JR3_H16,31.86846359,119.1843739,587456,208632,21.405,9.432,311.026,27.862,2.685,5.068,NA,NA,NA,4.57
JR3_H36,31.86846359,119.184582,587476,208632,21.974,9.818,347.442,27.98,2.971,1.985,NA,NA,NA,4.53
JR3_H06,31.86846359,119.1842699,587446,208632,24.578,8.42,268.3,23.533,2.615,4.882,NA,NA,NA,4.19
JR3_H76,31.86846359,119.1849981,587516,208632,18.631,5.914,112.514,13.786,2.451,1.086,NA,NA,NA,4.81
JR3_V0,31.86846359,119.1842075,587440,208632,23.943,14.182,364.261,42.373,2.46,8.21,NA,NA,NA,4.34
JR3_V01,31.8684726,119.1842075,587440,208633,22.401,12.393,271.491,27.599,2.973,5.045,NA,NA,NA,4.7
JR3_V16,31.86860773,119.1842075,587440,208648,26.024,14.385,287.358,31.692,2.775,2.425,NA,NA,NA,4.2
JR3_V36,31.86878791,119.1842075,587440,208668,32.051,8.348,261.511,30.251,2.555,11.552,NA,NA,NA,5.19
JR3_V06,31.86851764,119.1842075,587440,208638,31.24,11.053,196.905,14.27,3.039,9.429,NA,NA,NA,4.36
JR3_V76,31.86914827,119.1842075,587440,208708,21.339,13.414,292.011,31.46,2.827,6.032,NA,NA,NA,6.33
TC1_H01,30.96095278,116.9317937,370136,108010,29.025,8.93,182.172,6.321,4.938,1.742,39,39,15.6,4.93
TC1_H16,30.96095278,116.9319497,370151,108010,26.173,8.116,151.715,11.418,5.217,1.834,36.8,39.2,15.8,5.11
TC1_H36,30.96095278,116.9321578,370171,108010,28.123,9.117,262.514,13.529,5.445,0.489,41.5,39.8,16,5.13
TC1_H06,30.96095278,116.9318457,370141,108010,26.214,8.478,227.297,7.536,5.303,0.829,41.8,40.4,15.4,5.1
TC1_H76,30.96095278,116.9325739,370211,108010,28.516,8.817,184.002,7.93,5.622,0.613,36.5,39.1,16.4,4.66
TC1_V0,30.96095278,116.9317833,370135,108010,24.05,6.578,154.834,8.131,4.679,1.86,38.4,38.4,15.8,4.85
TC1_V01,30.96096179,116.9317833,370135,108011,25.806,8.297,175.091,6.276,4.487,1.462,38.7,38.5,15.2,4.91
TC1_V16,30.96109692,116.9317833,370135,108026,27.575,9.032,289.024,12.674,4.903,2.499,36.2,37.8,16,5.25
TC1_V36,30.9612771,116.9317833,370135,108046,29.625,9.219,160.786,7.081,4.817,1.359,39,38,16,4.85
TC1_V06,30.96100683,116.9317833,370135,108016,27.505,7.865,209.445,8.988,5.038,1.899,38.4,38.2,15.8,4.82
TC1_V76,30.96163746,116.9317833,370135,108086,27.136,8.708,145.194,4.185,4.637,1.962,34.3,37.9,16,5.86
TC2_H01,30.91966111,116.9127854,368302,103432,33.833,10.19,265.898,16.315,6.128,0.441,37.9,38.6,16,4.41
TC2_H16,30.91966111,116.9129414,368317,103432,28.019,6.702,465.91,33.918,5.478,0.266,40.4,39,16.6,4.18
TC2_H36,30.91966111,116.9131495,368337,103432,30.736,8.862,369.639,33.154,7.574,0.379,38.7,39,16,4.3
TC2_H06,30.91966111,116.9128374,368307,103432,27.96,7.999,381.119,31.411,5.073,0.276,39.8,38.9,17.2,NA
TC2_H76,30.91966111,116.9135656,368377,103432,27.771,9.276,433.269,42.397,6.36,0.581,40.9,39.1,16.5,4.44
TC2_V0,30.91966111,116.912775,368301,103432,30.253,8.737,245.03,11.045,5.291,0.322,39,39,16.5,4.38
TC2_V01,30.91967012,116.912775,368301,103433,31.145,9.135,280.6,15.681,6.151,0.407,38.7,38.8,16.4,4.32
TC2_V16,30.91980525,116.912775,368301,103448,31.317,9.132,268.077,11.098,5.731,0.677,37.6,38.9,16.5,4.29
TC2_V36,30.91998543,116.912775,368301,103468,34.165,10.917,348.429,15.694,5.963,0.388,36.2,38.4,16.2,4.28
TC2_V06,30.91971516,116.912775,368301,103438,32.259,8.912,301.854,11.763,6.173,0.425,40.4,39.4,17.2,4.35
TC2_V76,30.92034579,116.912775,368301,103508,29.216,8.531,217.816,9.453,5.448,0.975,40.4,38.7,16.7,4.16
TC3_H01,30.898875,116.9705548,373876,101127,24.502,7.639,325.206,26.877,4.361,0.305,36.2,38.7,18,4.98
TC3_H36,30.898875,116.9709189,373911,101127,25.576,7.409,281.38,24.933,6.102,0.557,43.2,38.9,18.5,4.99
TC3_H06,30.898875,116.9706068,373881,101127,23.26,6.801,226.215,19.557,5.841,0.287,39,39.1,17.8,5.08
TC3_H76,30.898875,116.971335,373951,101127,29.752,8.784,266.649,27.268,5.53,0.456,40.1,39,19,5.03
TC3_V0,30.898875,116.9705444,373875,101127,25.891,8.414,463.633,39.769,5.148,0.342,39.3,39.3,19.5,5.31
TC3_V01,30.89888401,116.9705444,373875,101128,26.176,7.557,345.373,24.299,5.431,0.581,38.7,36.3,18.8,4.88
TC3_V16,30.89901914,116.9705444,373875,101143,27.722,7.66,301.542,19.742,4.755,0.971,38.2,39.3,18.4,4.74
TC3_V36,30.89919932,116.9705444,373875,101163,24.491,7.059,369.329,31.965,6.015,0.32,41.5,38.4,18.5,4.95
TC3_V06,30.89892905,116.9705444,373875,101133,25.636,7.597,362.543,30.237,4.734,0.341,40.4,40.4,18.8,4.89
TC3_V76,30.89955968,116.9705444,373875,101203,25.821,8.48,368.114,23.026,5.484,0.282,42,39.1,19.2,4.95
XT1_H01,30.14548333,113.0959882,1,17605,39.772,10.952,543.431,39.917,6.058,2.101,33.3,33.3,18.7,6.55
XT1_H16,30.14548333,113.0961442,16,17605,35.105,10.073,347.891,27.096,5.927,1.841,38.3,35.7,15.8,6.81
XT1_H36,30.14548333,113.0963523,36,17605,36.761,10.559,286.401,22.765,4.375,4.019,40.5,36.4,16.2,6.65
XT1_H06,30.14548333,113.0960402,6,17605,35.032,11.356,502.421,50.336,5.546,1.411,34.7,35.2,16,6.45
XT1_H76,30.14548333,113.0967684,76,17605,24.678,8.185,152.641,18.543,3.479,5.145,36.3,36.4,17.4,6.72
XT1_V0,30.14548333,113.0959778,0,17605,37.096,11.297,601.986,41.411,5.88,0.603,54.8,54.8,17.2,6.54
